TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 592.7 +/- 0.0 (jitter = 0.0)	8.411	0.000	0.004
10	images/sec: 560.4 +/- 20.3 (jitter = 92.5)	8.162	0.000	0.000
20	images/sec: 571.4 +/- 12.4 (jitter = 56.8)	8.020	0.000	0.012
30	images/sec: 574.3 +/- 8.9 (jitter = 47.3)	8.280	0.000	0.000
40	images/sec: 575.7 +/- 7.5 (jitter = 45.6)	8.122	0.000	0.008
50	images/sec: 348.8 +/- 12.9 (jitter = 43.6)	8.230	0.000	0.008
60	images/sec: 373.8 +/- 10.9 (jitter = 47.9)	8.075	0.000	0.004
70	images/sec: 395.2 +/- 9.6 (jitter = 45.2)	8.020	0.004	0.008
80	images/sec: 413.4 +/- 8.5 (jitter = 43.5)	8.166	0.000	0.000
90	images/sec: 429.9 +/- 7.8 (jitter = 38.6)	8.030	0.000	0.004
100	images/sec: 371.4 +/- 9.1 (jitter = 36.5)	8.023	0.000	0.008
110	images/sec: 384.3 +/- 8.3 (jitter = 35.8)	8.009	0.000	0.004
120	images/sec: 396.6 +/- 7.7 (jitter = 33.9)	7.994	0.004	0.008
130	images/sec: 407.8 +/- 7.1 (jitter = 34.0)	7.908	0.000	0.000
140	images/sec: 417.1 +/- 6.7 (jitter = 33.9)	7.973	0.000	0.004
150	images/sec: 368.2 +/- 7.4 (jitter = 33.5)	7.903	0.000	0.012
160	images/sec: 377.6 +/- 7.0 (jitter = 32.2)	7.834	0.004	0.023
170	images/sec: 386.1 +/- 6.6 (jitter = 32.5)	7.939	0.004	0.008
180	images/sec: 393.8 +/- 6.3 (jitter = 32.3)	7.900	0.008	0.012
190	images/sec: 401.8 +/- 6.1 (jitter = 32.8)	7.814	0.000	0.020
200	images/sec: 372.8 +/- 6.5 (jitter = 32.8)	7.746	0.000	0.020
210	images/sec: 379.9 +/- 6.2 (jitter = 32.1)	7.815	0.000	0.008
220	images/sec: 386.7 +/- 5.9 (jitter = 32.6)	7.796	0.004	0.020
230	images/sec: 393.1 +/- 5.7 (jitter = 32.9)	7.792	0.000	0.000
240	images/sec: 398.5 +/- 5.5 (jitter = 33.5)	7.839	0.000	0.012
250	images/sec: 376.9 +/- 5.8 (jitter = 34.6)	7.721	0.004	0.016
260	images/sec: 381.7 +/- 5.6 (jitter = 34.8)	7.818	0.004	0.012
270	images/sec: 387.1 +/- 5.4 (jitter = 34.7)	7.733	0.012	0.016
280	images/sec: 392.2 +/- 5.3 (jitter = 34.3)	7.728	0.000	0.020
290	images/sec: 397.3 +/- 5.1 (jitter = 34.7)	7.693	0.000	0.023
300	images/sec: 370.1 +/- 5.3 (jitter = 34.3)	7.679	0.000	0.016
310	images/sec: 374.8 +/- 5.1 (jitter = 34.3)	7.727	0.000	0.004
320	images/sec: 379.2 +/- 5.0 (jitter = 34.8)	7.716	0.004	0.031
330	images/sec: 383.4 +/- 4.9 (jitter = 34.6)	7.773	0.000	0.020
340	images/sec: 364.1 +/- 5.0 (jitter = 34.8)	7.685	0.008	0.016
350	images/sec: 368.1 +/- 4.9 (jitter = 34.5)	7.688	0.000	0.012
360	images/sec: 372.4 +/- 4.8 (jitter = 34.5)	7.667	0.004	0.023
370	images/sec: 376.4 +/- 4.6 (jitter = 34.5)	7.636	0.000	0.023
380	images/sec: 380.0 +/- 4.5 (jitter = 33.8)	7.677	0.000	0.004
390	images/sec: 363.7 +/- 4.9 (jitter = 33.6)	7.590	0.004	0.020
400	images/sec: 367.3 +/- 4.8 (jitter = 33.9)	7.719	0.004	0.027
410	images/sec: 370.9 +/- 4.6 (jitter = 33.8)	7.645	0.008	0.016
420	images/sec: 374.4 +/- 4.5 (jitter = 34.3)	7.657	0.000	0.023
430	images/sec: 377.6 +/- 4.5 (jitter = 34.2)	7.627	0.000	0.016
440	images/sec: 365.2 +/- 4.6 (jitter = 34.4)	7.656	0.008	0.039
450	images/sec: 368.6 +/- 4.5 (jitter = 34.6)	7.624	0.004	0.043
460	images/sec: 371.9 +/- 4.4 (jitter = 34.6)	7.520	0.004	0.027
470	images/sec: 375.1 +/- 4.3 (jitter = 34.3)	7.603	0.008	0.023
480	images/sec: 378.1 +/- 4.2 (jitter = 34.0)	7.574	0.008	0.027
490	images/sec: 370.4 +/- 4.3 (jitter = 34.0)	7.536	0.008	0.031
500	images/sec: 373.0 +/- 4.2 (jitter = 34.4)	7.614	0.004	0.012
510	images/sec: 375.9 +/- 4.2 (jitter = 34.0)	7.567	0.004	0.027
520	images/sec: 378.4 +/- 4.1 (jitter = 34.0)	7.520	0.008	0.035
530	images/sec: 381.2 +/- 4.0 (jitter = 33.8)	7.548	0.000	0.027
540	images/sec: 367.6 +/- 4.1 (jitter = 33.9)	7.568	0.000	0.012
550	images/sec: 370.3 +/- 4.0 (jitter = 34.0)	7.596	0.008	0.023
560	images/sec: 372.9 +/- 4.0 (jitter = 33.9)	7.574	0.004	0.031
570	images/sec: 375.3 +/- 3.9 (jitter = 33.8)	7.540	0.012	0.031
580	images/sec: 377.7 +/- 3.8 (jitter = 33.8)	7.517	0.012	0.035
590	images/sec: 369.5 +/- 3.9 (jitter = 33.6)	7.569	0.004	0.020
600	images/sec: 372.1 +/- 3.8 (jitter = 33.8)	7.419	0.008	0.031
610	images/sec: 374.3 +/- 3.8 (jitter = 33.6)	7.473	0.000	0.020
620	images/sec: 376.6 +/- 3.7 (jitter = 33.8)	7.491	0.012	0.027
630	images/sec: 378.9 +/- 3.7 (jitter = 33.6)	7.536	0.004	0.008
640	images/sec: 368.2 +/- 3.7 (jitter = 33.4)	7.500	0.004	0.039
650	images/sec: 370.4 +/- 3.7 (jitter = 33.5)	7.579	0.000	0.008
660	images/sec: 372.6 +/- 3.6 (jitter = 33.6)	7.519	0.012	0.027
670	images/sec: 374.6 +/- 3.6 (jitter = 33.4)	7.417	0.004	0.031
680	images/sec: 376.8 +/- 3.5 (jitter = 33.4)	7.374	0.012	0.023
690	images/sec: 368.5 +/- 3.6 (jitter = 33.3)	7.426	0.004	0.031
700	images/sec: 370.6 +/- 3.5 (jitter = 33.1)	7.366	0.004	0.023
710	images/sec: 372.6 +/- 3.5 (jitter = 33.0)	7.431	0.004	0.023
720	images/sec: 374.7 +/- 3.5 (jitter = 33.1)	7.412	0.016	0.035
730	images/sec: 373.9 +/- 3.5 (jitter = 33.3)	7.377	0.027	0.039
740	images/sec: 369.9 +/- 3.5 (jitter = 33.4)	7.446	0.004	0.035
750	images/sec: 371.8 +/- 3.5 (jitter = 33.5)	7.504	0.000	0.027
760	images/sec: 373.7 +/- 3.5 (jitter = 33.5)	7.563	0.008	0.016
770	images/sec: 375.6 +/- 3.4 (jitter = 33.5)	7.467	0.008	0.031
780	images/sec: 367.0 +/- 3.5 (jitter = 33.6)	7.299	0.020	0.043
790	images/sec: 368.9 +/- 3.5 (jitter = 33.4)	7.370	0.008	0.012
800	images/sec: 370.5 +/- 3.4 (jitter = 33.2)	7.351	0.004	0.020
810	images/sec: 372.3 +/- 3.4 (jitter = 33.5)	7.410	0.012	0.027
820	images/sec: 374.1 +/- 3.3 (jitter = 33.6)	7.399	0.004	0.020
830	images/sec: 368.0 +/- 3.4 (jitter = 33.5)	7.441	0.008	0.027
840	images/sec: 369.8 +/- 3.3 (jitter = 33.5)	7.383	0.004	0.008
850	images/sec: 371.5 +/- 3.3 (jitter = 33.5)	7.411	0.008	0.035
860	images/sec: 373.2 +/- 3.3 (jitter = 33.7)	7.367	0.012	0.055
870	images/sec: 374.8 +/- 3.2 (jitter = 33.6)	7.348	0.008	0.023
880	images/sec: 368.5 +/- 3.3 (jitter = 33.6)	7.287	0.000	0.031
890	images/sec: 370.0 +/- 3.2 (jitter = 33.6)	7.232	0.008	0.023
900	images/sec: 371.6 +/- 3.2 (jitter = 33.7)	7.338	0.000	0.023
910	images/sec: 373.1 +/- 3.2 (jitter = 33.6)	7.291	0.008	0.043
920	images/sec: 374.6 +/- 3.2 (jitter = 33.6)	7.326	0.004	0.055
930	images/sec: 369.1 +/- 3.2 (jitter = 33.6)	7.281	0.000	0.031
940	images/sec: 370.7 +/- 3.1 (jitter = 33.7)	7.274	0.008	0.027
950	images/sec: 372.2 +/- 3.1 (jitter = 33.8)	7.286	0.020	0.055
960	images/sec: 373.8 +/- 3.1 (jitter = 33.8)	7.309	0.031	0.051
970	images/sec: 375.1 +/- 3.1 (jitter = 33.9)	7.278	0.020	0.047
980	images/sec: 369.5 +/- 3.1 (jitter = 33.9)	7.290	0.012	0.035
990	images/sec: 370.9 +/- 3.1 (jitter = 34.0)	7.319	0.012	0.047
1000	images/sec: 372.4 +/- 3.0 (jitter = 34.1)	7.242	0.016	0.055
1010	images/sec: 373.8 +/- 3.0 (jitter = 34.1)	7.179	0.020	0.059
1020	images/sec: 375.2 +/- 3.0 (jitter = 34.2)	7.225	0.004	0.043
1030	images/sec: 370.1 +/- 3.0 (jitter = 34.4)	7.302	0.004	0.020
1040	images/sec: 371.6 +/- 3.0 (jitter = 34.5)	7.100	0.008	0.055
1050	images/sec: 373.0 +/- 3.0 (jitter = 34.5)	7.276	0.008	0.051
1060	images/sec: 374.3 +/- 2.9 (jitter = 34.5)	7.188	0.008	0.059
1070	images/sec: 375.6 +/- 2.9 (jitter = 34.5)	7.100	0.023	0.051
1080	images/sec: 370.6 +/- 2.9 (jitter = 34.7)	7.208	0.008	0.051
1090	images/sec: 371.9 +/- 2.9 (jitter = 34.9)	7.317	0.008	0.023
1100	images/sec: 373.2 +/- 2.9 (jitter = 34.8)	7.243	0.008	0.023
1110	images/sec: 374.5 +/- 2.9 (jitter = 34.8)	7.237	0.000	0.047
1120	images/sec: 375.8 +/- 2.8 (jitter = 34.8)	7.237	0.020	0.047
1130	images/sec: 370.7 +/- 2.9 (jitter = 34.8)	7.212	0.012	0.059
1140	images/sec: 372.0 +/- 2.9 (jitter = 35.0)	7.137	0.016	0.051
1150	images/sec: 373.2 +/- 2.9 (jitter = 35.0)	7.248	0.004	0.031
1160	images/sec: 374.5 +/- 2.8 (jitter = 35.0)	7.225	0.012	0.051
1170	images/sec: 369.7 +/- 2.9 (jitter = 35.2)	7.168	0.012	0.055
1180	images/sec: 370.8 +/- 2.8 (jitter = 35.6)	7.251	0.004	0.059
1190	images/sec: 372.1 +/- 2.8 (jitter = 35.3)	7.133	0.012	0.059
1200	images/sec: 373.2 +/- 2.8 (jitter = 35.5)	7.184	0.008	0.055
1210	images/sec: 374.4 +/- 2.8 (jitter = 35.6)	7.194	0.016	0.059
1220	images/sec: 370.6 +/- 2.8 (jitter = 36.0)	7.239	0.008	0.062
1230	images/sec: 371.8 +/- 2.8 (jitter = 35.9)	7.061	0.012	0.055
1240	images/sec: 373.0 +/- 2.7 (jitter = 35.8)	7.162	0.020	0.051
1250	images/sec: 374.0 +/- 2.7 (jitter = 36.0)	7.098	0.008	0.047
1260	images/sec: 375.1 +/- 2.7 (jitter = 36.0)	7.082	0.004	0.035
1270	images/sec: 370.4 +/- 2.7 (jitter = 36.2)	7.189	0.016	0.059
1280	images/sec: 371.5 +/- 2.7 (jitter = 35.9)	7.125	0.023	0.082
1290	images/sec: 372.6 +/- 2.7 (jitter = 36.0)	7.132	0.023	0.074
1300	images/sec: 373.6 +/- 2.7 (jitter = 36.1)	7.193	0.004	0.023
1310	images/sec: 374.7 +/- 2.6 (jitter = 36.1)	7.235	0.016	0.031
1320	images/sec: 370.9 +/- 2.7 (jitter = 36.1)	7.132	0.023	0.051
1330	images/sec: 371.9 +/- 2.7 (jitter = 36.1)	7.006	0.020	0.062
1340	images/sec: 372.9 +/- 2.6 (jitter = 36.1)	7.074	0.012	0.070
1350	images/sec: 373.9 +/- 2.6 (jitter = 36.2)	7.152	0.008	0.051
1360	images/sec: 375.0 +/- 2.6 (jitter = 36.3)	7.082	0.023	0.066
1370	images/sec: 371.1 +/- 2.6 (jitter = 36.4)	7.160	0.031	0.074
1380	images/sec: 372.2 +/- 2.6 (jitter = 36.5)	7.071	0.027	0.082
1390	images/sec: 373.2 +/- 2.6 (jitter = 36.5)	7.016	0.016	0.062
1400	images/sec: 374.3 +/- 2.6 (jitter = 36.5)	7.020	0.027	0.070
1410	images/sec: 375.3 +/- 2.5 (jitter = 36.4)	7.015	0.016	0.066
1420	images/sec: 371.0 +/- 2.6 (jitter = 36.4)	7.124	0.012	0.062
1430	images/sec: 371.9 +/- 2.5 (jitter = 36.6)	7.249	0.000	0.023
1440	images/sec: 372.9 +/- 2.5 (jitter = 36.6)	7.050	0.027	0.074
1450	images/sec: 373.9 +/- 2.5 (jitter = 36.6)	6.978	0.016	0.055
1460	images/sec: 374.9 +/- 2.5 (jitter = 36.7)	7.020	0.004	0.059
1470	images/sec: 371.0 +/- 2.5 (jitter = 36.7)	7.001	0.016	0.070
1480	images/sec: 372.0 +/- 2.5 (jitter = 36.7)	7.083	0.012	0.035
1490	images/sec: 372.9 +/- 2.5 (jitter = 36.7)	6.950	0.016	0.086
1500	images/sec: 373.8 +/- 2.5 (jitter = 36.7)	7.055	0.020	0.074
1510	images/sec: 374.7 +/- 2.5 (jitter = 36.8)	6.959	0.031	0.090
1520	images/sec: 370.9 +/- 2.5 (jitter = 37.1)	6.981	0.027	0.062
1530	images/sec: 371.8 +/- 2.5 (jitter = 37.1)	7.068	0.023	0.051
1540	images/sec: 372.6 +/- 2.5 (jitter = 37.2)	6.889	0.012	0.066
1550	images/sec: 373.5 +/- 2.5 (jitter = 37.2)	6.905	0.035	0.066
1560	images/sec: 374.5 +/- 2.4 (jitter = 36.9)	7.031	0.016	0.055
1570	images/sec: 369.5 +/- 2.5 (jitter = 37.0)	7.036	0.008	0.062
1580	images/sec: 370.4 +/- 2.4 (jitter = 36.9)	6.948	0.004	0.074
1590	images/sec: 371.3 +/- 2.4 (jitter = 36.8)	7.113	0.008	0.059
1600	images/sec: 372.1 +/- 2.4 (jitter = 36.8)	7.126	0.012	0.066
1610	images/sec: 369.2 +/- 2.4 (jitter = 36.7)	6.938	0.027	0.090
1620	images/sec: 370.2 +/- 2.4 (jitter = 36.9)	6.997	0.016	0.043
1630	images/sec: 371.0 +/- 2.4 (jitter = 36.8)	7.022	0.016	0.062
1640	images/sec: 371.9 +/- 2.4 (jitter = 36.7)	6.978	0.012	0.055
1650	images/sec: 372.8 +/- 2.4 (jitter = 36.6)	7.002	0.035	0.074
1660	images/sec: 368.6 +/- 2.4 (jitter = 36.8)	6.971	0.023	0.090
