TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 548.5 +/- 0.0 (jitter = 0.0)	8.759	0.000	0.000
10	images/sec: 71.8 +/- 50.7 (jitter = 34.3)	8.585	0.000	0.008
20	images/sec: 126.3 +/- 26.4 (jitter = 21.1)	8.381	0.008	0.016
30	images/sec: 170.1 +/- 18.3 (jitter = 26.2)	8.361	0.000	0.008
40	images/sec: 205.0 +/- 14.1 (jitter = 29.0)	8.759	0.000	0.008
50	images/sec: 233.8 +/- 11.4 (jitter = 33.6)	8.250	0.000	0.000
60	images/sec: 258.1 +/- 9.6 (jitter = 27.9)	8.055	0.000	0.000
70	images/sec: 278.8 +/- 8.3 (jitter = 28.6)	8.256	0.000	0.008
80	images/sec: 297.8 +/- 7.4 (jitter = 29.9)	8.055	0.000	0.000
90	images/sec: 313.3 +/- 6.8 (jitter = 31.3)	7.975	0.000	0.000
100	images/sec: 327.6 +/- 6.1 (jitter = 29.3)	8.040	0.000	0.000
110	images/sec: 256.9 +/- 7.4 (jitter = 31.0)	7.969	0.000	0.016
120	images/sec: 268.7 +/- 6.8 (jitter = 29.2)	7.896	0.000	0.016
130	images/sec: 279.8 +/- 6.3 (jitter = 28.4)	7.917	0.000	0.008
140	images/sec: 290.1 +/- 5.9 (jitter = 27.8)	7.895	0.000	0.008
150	images/sec: 299.7 +/- 5.6 (jitter = 28.7)	7.831	0.008	0.008
160	images/sec: 308.7 +/- 5.3 (jitter = 28.0)	7.900	0.000	0.008
170	images/sec: 316.7 +/- 5.0 (jitter = 28.0)	7.822	0.000	0.008
180	images/sec: 324.6 +/- 4.7 (jitter = 27.4)	7.869	0.000	0.000
190	images/sec: 331.7 +/- 4.5 (jitter = 27.4)	7.860	0.000	0.023
200	images/sec: 338.7 +/- 4.3 (jitter = 28.0)	7.820	0.000	0.016
210	images/sec: 288.9 +/- 4.9 (jitter = 27.8)	7.787	0.008	0.016
220	images/sec: 295.4 +/- 4.7 (jitter = 27.8)	7.820	0.000	0.023
230	images/sec: 301.4 +/- 4.5 (jitter = 28.2)	7.791	0.000	0.008
240	images/sec: 307.3 +/- 4.3 (jitter = 28.4)	7.855	0.000	0.008
250	images/sec: 312.7 +/- 4.2 (jitter = 28.2)	7.826	0.008	0.016
260	images/sec: 318.0 +/- 4.0 (jitter = 28.4)	7.762	0.008	0.023
270	images/sec: 323.0 +/- 3.9 (jitter = 28.1)	7.777	0.000	0.008
280	images/sec: 327.9 +/- 3.8 (jitter = 27.7)	7.756	0.000	0.008
290	images/sec: 332.5 +/- 3.7 (jitter = 27.2)	7.862	0.000	0.000
300	images/sec: 337.0 +/- 3.5 (jitter = 27.2)	7.850	0.008	0.008
310	images/sec: 305.3 +/- 3.9 (jitter = 27.8)	7.858	0.000	0.008
320	images/sec: 309.6 +/- 3.8 (jitter = 27.5)	7.774	0.000	0.016
330	images/sec: 313.8 +/- 3.6 (jitter = 27.5)	7.746	0.000	0.031
340	images/sec: 318.0 +/- 3.5 (jitter = 27.5)	7.762	0.000	0.023
350	images/sec: 322.0 +/- 3.5 (jitter = 27.4)	7.828	0.000	0.016
360	images/sec: 325.9 +/- 3.4 (jitter = 27.0)	7.760	0.008	0.023
370	images/sec: 329.6 +/- 3.3 (jitter = 27.3)	7.821	0.008	0.008
380	images/sec: 333.2 +/- 3.2 (jitter = 27.5)	7.721	0.000	0.016
390	images/sec: 336.6 +/- 3.1 (jitter = 27.7)	7.708	0.000	0.008
400	images/sec: 313.4 +/- 3.4 (jitter = 27.3)	7.805	0.008	0.023
410	images/sec: 316.6 +/- 3.3 (jitter = 27.4)	7.657	0.000	0.039
420	images/sec: 319.9 +/- 3.2 (jitter = 27.3)	7.790	0.000	0.000
430	images/sec: 323.0 +/- 3.1 (jitter = 26.9)	7.654	0.008	0.023
440	images/sec: 326.1 +/- 3.1 (jitter = 28.3)	7.660	0.000	0.008
450	images/sec: 329.1 +/- 3.0 (jitter = 27.3)	7.728	0.000	0.008
460	images/sec: 331.5 +/- 3.0 (jitter = 27.8)	7.759	0.016	0.031
