iteration,throughput (img/s),loss,top1-accuracy,top5-accuracy
1720,422.6,6.680,0.016,0.113
1730,422.6,6.792,0.016,0.090
1740,422.6,6.834,0.031,0.074
1750,422.6,6.721,0.027,0.109
1760,422.6,6.663,0.020,0.098
1770,422.6,6.907,0.012,0.082
1780,422.6,6.813,0.012,0.078
1790,422.7,6.692,0.031,0.102
1800,422.7,6.760,0.039,0.098
1810,422.6,6.910,0.020,0.086
1820,422.7,6.834,0.016,0.094
1830,422.7,6.702,0.023,0.121
1840,422.7,6.704,0.020,0.098
1850,422.7,6.659,0.043,0.113
1860,422.7,6.779,0.023,0.078
1870,422.7,6.759,0.031,0.113
1880,422.7,6.481,0.070,0.152
1890,422.7,6.690,0.031,0.102
1900,422.7,6.559,0.055,0.129
1910,422.7,6.831,0.020,0.074
1920,422.7,6.680,0.027,0.125
1930,422.7,6.703,0.023,0.105
1940,422.7,6.748,0.043,0.098
1950,422.7,6.730,0.027,0.086
1960,422.7,6.621,0.035,0.109
1970,422.7,6.852,0.020,0.086
1980,422.7,6.609,0.039,0.117
1990,422.7,6.748,0.047,0.121
2000,422.7,6.700,0.039,0.121
2010,422.7,6.721,0.031,0.109
2020,422.7,6.632,0.027,0.102
2030,422.1,6.710,0.016,0.090
2040,422.1,6.562,0.039,0.117
2050,422.1,6.683,0.020,0.105
2060,422.1,6.668,0.043,0.125
2070,422.1,6.508,0.035,0.141
2080,422.2,6.536,0.027,0.105
2090,422.2,6.679,0.035,0.102
2100,422.2,6.574,0.020,0.098
2110,422.2,6.715,0.027,0.098
2120,422.2,6.726,0.016,0.094
2130,422.2,6.667,0.039,0.105
2140,422.2,6.562,0.051,0.141
2150,422.1,6.573,0.020,0.102
2160,422.1,6.642,0.031,0.145
2170,422.1,6.658,0.035,0.117
2180,422.1,6.543,0.031,0.129
2190,422.1,6.453,0.059,0.156
2200,422.1,6.717,0.035,0.098
2210,422.1,6.549,0.031,0.125
2220,422.1,6.574,0.031,0.129
2230,422.1,6.574,0.039,0.145
2240,422.1,6.691,0.039,0.113
2250,422.1,6.642,0.051,0.121
2260,422.1,6.687,0.031,0.117
2270,422.1,6.577,0.035,0.125
2280,422.0,6.674,0.027,0.113
2290,421.9,6.504,0.035,0.117
2300,422.0,6.526,0.035,0.129
2310,422.0,6.456,0.035,0.164
2320,422.1,6.445,0.039,0.129
2330,422.0,6.445,0.039,0.129
2340,422.0,6.594,0.043,0.141
2350,422.0,6.437,0.062,0.125
2360,422.1,6.510,0.043,0.125
2370,422.1,6.645,0.016,0.094
2380,422.1,6.533,0.051,0.121
2390,422.1,6.587,0.039,0.121
2400,422.1,6.503,0.035,0.125
2410,422.1,6.527,0.047,0.125
2420,422.1,6.461,0.047,0.121
2430,422.1,6.466,0.047,0.105
2440,422.1,6.320,0.035,0.160
2450,422.1,6.505,0.035,0.113
2460,422.1,6.526,0.031,0.125
2470,422.1,6.464,0.055,0.133
2480,422.1,6.540,0.051,0.117
2490,422.1,6.649,0.062,0.117
2500,422.1,6.457,0.035,0.141
2510,421.8,6.528,0.051,0.133
2520,421.8,6.527,0.059,0.148
2530,421.8,6.572,0.047,0.133
2540,421.8,6.387,0.062,0.176
2550,421.8,6.477,0.059,0.125
2560,421.5,6.546,0.035,0.098
2570,421.5,6.393,0.043,0.160
2580,421.5,6.488,0.051,0.156
2590,421.1,6.488,0.035,0.160
2600,421.2,6.568,0.035,0.133
2610,421.1,6.521,0.039,0.133
2620,421.1,6.527,0.039,0.129
2630,421.2,6.412,0.062,0.180
2640,421.2,6.450,0.043,0.121
2650,421.2,6.359,0.039,0.172
2660,421.3,6.312,0.074,0.168
2670,421.2,6.340,0.035,0.195
2680,421.3,6.520,0.051,0.148
2690,421.2,6.410,0.031,0.137
2700,421.3,6.446,0.062,0.141
2710,421.3,6.547,0.039,0.129
2720,421.3,6.325,0.055,0.156
2730,421.3,6.431,0.062,0.148
2740,421.3,6.492,0.027,0.137
2750,421.3,6.227,0.043,0.180
2760,421.3,6.356,0.059,0.164
2770,421.3,6.465,0.051,0.160
2780,421.3,6.321,0.055,0.184
2790,421.4,6.529,0.035,0.121
2800,421.4,6.465,0.043,0.168
2810,421.4,6.134,0.074,0.195
2820,421.4,6.389,0.043,0.129
2830,421.3,6.359,0.059,0.172
2840,421.4,6.183,0.039,0.164
2850,421.3,6.411,0.035,0.141
2860,421.3,6.430,0.039,0.172
2870,421.3,6.407,0.035,0.145
2880,421.3,6.332,0.074,0.180
2890,421.3,6.495,0.035,0.141
2900,421.3,6.078,0.074,0.188
2910,421.3,6.278,0.039,0.172
2920,421.3,6.214,0.059,0.160
2930,421.4,6.355,0.059,0.168
2940,421.4,6.408,0.074,0.203
2950,421.4,6.250,0.055,0.199
2960,421.4,6.254,0.062,0.152
2970,421.4,6.356,0.035,0.148
2980,421.4,6.272,0.070,0.156
2990,421.4,6.356,0.047,0.168
3000,421.4,6.308,0.047,0.156
3010,421.4,6.252,0.082,0.176
3020,421.4,6.145,0.086,0.211
3030,421.4,6.312,0.055,0.188
3040,421.4,6.367,0.059,0.176
3050,421.4,6.312,0.051,0.148
3060,421.4,6.310,0.043,0.199
3070,421.4,6.302,0.062,0.184
3080,421.4,6.333,0.039,0.172
3090,421.5,6.502,0.031,0.113
3100,421.5,6.237,0.066,0.188
3110,421.5,6.223,0.035,0.148
3120,421.5,6.357,0.031,0.129
3130,421.5,6.291,0.043,0.145
3140,421.5,6.523,0.043,0.160
3150,421.5,6.161,0.094,0.211
3160,421.5,6.265,0.051,0.180
3170,421.5,6.173,0.066,0.180
3180,421.5,6.344,0.074,0.188
3190,421.5,6.205,0.047,0.188
3200,421.6,6.292,0.059,0.164
3210,421.5,6.059,0.090,0.184
3220,421.6,6.066,0.062,0.203
3230,421.6,6.227,0.074,0.168
3240,421.6,5.954,0.102,0.230
3250,421.6,6.275,0.070,0.168
3260,421.6,6.221,0.047,0.156
3270,421.6,6.093,0.090,0.230
3280,421.6,6.207,0.070,0.191
3290,421.6,6.264,0.082,0.188
3300,421.6,6.142,0.062,0.191
3310,421.7,6.257,0.074,0.172
3320,421.7,6.392,0.031,0.152
3330,421.7,6.272,0.047,0.145
3340,421.7,6.288,0.055,0.168
3350,421.7,6.382,0.055,0.129
3360,421.7,6.189,0.055,0.172
3370,421.7,6.183,0.070,0.156
3380,421.7,6.375,0.062,0.152
3390,421.7,6.093,0.047,0.191
3400,421.7,6.224,0.051,0.160
3410,421.7,6.117,0.074,0.191
3420,421.7,6.185,0.059,0.172
3430,421.7,6.156,0.082,0.199
3440,421.7,6.067,0.059,0.227
3450,421.7,6.301,0.047,0.145
3460,421.3,6.314,0.047,0.152
3470,421.3,6.095,0.094,0.211
3480,421.3,6.223,0.066,0.141
3490,421.3,6.046,0.066,0.195
3500,421.3,6.155,0.055,0.188
3510,421.3,6.284,0.043,0.160
3520,421.3,6.035,0.062,0.176
3530,421.4,6.230,0.051,0.168
3540,421.4,5.966,0.090,0.230
3550,421.4,6.105,0.102,0.230
3560,421.4,6.121,0.078,0.184
3570,421.4,6.030,0.078,0.219
3580,421.4,6.172,0.074,0.207
3590,421.4,6.073,0.082,0.211
3600,421.4,5.891,0.102,0.262
3610,421.4,6.294,0.047,0.164
3620,421.4,6.073,0.051,0.203
3630,421.4,6.093,0.066,0.188
3640,421.4,6.045,0.066,0.207
3650,421.4,6.194,0.059,0.180
3660,421.4,6.055,0.074,0.219
3670,421.3,6.006,0.082,0.203
3680,421.3,6.065,0.070,0.203
3690,421.3,6.350,0.062,0.164
3700,421.3,6.142,0.066,0.188
3710,421.3,6.277,0.086,0.184
3720,421.3,6.073,0.086,0.246
3730,421.3,5.932,0.082,0.211
3740,421.3,6.074,0.051,0.203
3750,421.3,6.124,0.062,0.207
3760,421.3,6.026,0.090,0.223
3770,421.3,6.046,0.062,0.207
3780,421.4,6.008,0.094,0.227
3790,421.4,6.171,0.039,0.176
3800,421.4,6.076,0.074,0.203
3810,421.4,5.933,0.102,0.230
3820,421.4,5.934,0.059,0.215
3830,421.4,5.955,0.086,0.238
3840,421.4,6.104,0.066,0.195
3850,421.4,6.047,0.082,0.184
3860,421.4,6.010,0.066,0.207
3870,421.4,6.219,0.074,0.211
3880,421.4,6.011,0.086,0.230
3890,421.4,6.036,0.059,0.184
3900,421.4,6.160,0.078,0.199
3910,421.4,6.119,0.074,0.227
3920,421.4,5.916,0.098,0.254
3930,421.3,6.114,0.090,0.207
3940,421.3,6.203,0.070,0.184
3950,421.3,6.241,0.055,0.188
3960,421.3,5.963,0.078,0.195
3970,421.3,5.960,0.102,0.234
3980,421.3,5.852,0.113,0.246
3990,421.3,6.066,0.059,0.207
4000,421.3,6.056,0.074,0.219
4010,421.3,5.881,0.102,0.266
4020,421.3,6.003,0.090,0.250
4030,421.3,6.283,0.070,0.195
4040,421.3,6.034,0.090,0.191
4050,421.1,6.008,0.074,0.223
4060,421.1,6.120,0.078,0.215
4070,421.1,5.881,0.090,0.207
4080,421.1,6.033,0.074,0.199
4090,421.1,5.972,0.102,0.199
4100,421.1,5.828,0.113,0.223
4110,421.1,5.907,0.094,0.270
