1 1519746775955 Training with training/test data at:
2 1519746776033   DATA_DIR: /mnt/data/imagenet-tfrecord
3 1519746776049   MODEL_DIR: /job/model-code
4 1519746776055   TRAINING_JOB: 
5 1519746776060   TRAINING_COMMAND: python tf_cnn_benchmarks.py --local_parameter_device=cpu --num_gpus=2 --batch_size=128 --num_batches=250000 --model=vgg16 --data_dir="${DATA_DIR}" --data_name="imagenet" --variable_update=parameter_server --num_intra_threads=4 --num_inter_threads=8 --print_training_accuracy 
6 1519746776067 Storing trained model at:
7 1519746776071   RESULT_DIR: /mnt/results/imagenet-tfrecord-results/training-BV3Bs2ekg
8 1519746776075 Tue Feb 27 15:52:24 UTC 2018: Running Tensorflow job
9 1519746776080 /usr/local/lib/python2.7/dist-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
10 1519746776085   from ._conv import register_converters as _register_converters
11 1519746776089 W0227 15:52:40.157386 46987615483008 tf_logging.py:118] From /job/model-code/benchmark_cnn.py:1295: __init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
12 1519746776094 Instructions for updating:
13 1519746776098 Please switch to tf.train.MonitoredTrainingSession
14 1519746776102 2018-02-27 15:52:40.311296: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
15 1519746776107 2018-02-27 15:52:40.802099: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
16 1519746776112 name: Tesla V100-PCIE-16GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
17 1519746776117 pciBusID: 0000:81:00.0
18 1519746776122 totalMemory: 15.77GiB freeMemory: 15.36GiB
19 1519746776126 2018-02-27 15:52:41.166045: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 1 with properties: 
20 1519746776130 name: Tesla V100-PCIE-16GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
21 1519746776135 pciBusID: 0000:82:00.0
22 1519746776139 totalMemory: 15.77GiB freeMemory: 15.36GiB
23 1519746776144 2018-02-27 15:52:41.167318: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Device peer to peer matrix
24 1519746776149 2018-02-27 15:52:41.167684: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1126] DMA: 0 1 
25 1519746776153 2018-02-27 15:52:41.167719: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 0:   Y Y 
26 1519746776157 2018-02-27 15:52:41.167726: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 1:   Y Y 
27 1519746776161 2018-02-27 15:52:41.167739: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla V100-PCIE-16GB, pci bus id: 0000:81:00.0, compute capability: 7.0)
28 1519746776166 2018-02-27 15:52:41.167747: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: Tesla V100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 7.0)
29 1519746995825 2018-02-27 15:56:05.633515: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 1 of 10000
30 1519747000904 2018-02-27 15:56:12.002930: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 7717 of 10000
31 1519747000921 2018-02-27 15:56:13.187075: I tensorflow/core/kernels/shuffle_dataset_op.cc:126] Shuffle buffer filled.
32 1519747029180 I0227 15:56:38.922674 46993615357696 tf_logging.py:110] Starting real work at step 10 at time Tue Feb 27 15:56:38 2018
33 1519747419569 TensorFlow:  1.5
34 1519747419620 Model:       vgg16
35 1519747419635 Dataset:     imagenet
36 1519747419641 Mode:        training
37 1519747419645 SingleSess:  False
38 1519747419649 Batch size:  256 global
39 1519747419654              128 per device
40 1519747419658 Num batches: 250000
41 1519747419663 Num epochs:  49.95
42 1519747419668 Devices:     ['/gpu:0', '/gpu:1']
43 1519747419672 Data format: NCHW
44 1519747419676 Layout optimizer: False
45 1519747419681 Optimizer:   sgd
46 1519747419686 Variables:   parameter_server
47 1519747419691 ==========
48 1519747419696 Generating model
49 1519747419700 Running warm up
50 1519747419704 Done warm up
51 1519747419708 Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
2455 1519764385916 23540	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.246	0.004	0.016
2456 1519764385921 23550	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.250	0.004	0.008
2457 1519764385925 23560	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.244	0.000	0.008
2458 1519764385930 23570	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.244	0.000	0.008
2459 1519764385934 23580	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.246	0.000	0.004
2460 1519764385941 23590	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.247	0.000	0.000
2461 1519764385946 23600	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.247	0.000	0.000
2462 1519764385950 23610	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.246	0.000	0.004
2463 1519764385957 23620	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.246	0.000	0.000
2464 1519764385962 23630	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.242	0.004	0.008
2465 1519764385966 23640	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.245	0.000	0.004
2466 1519764385970 23650	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.243	0.000	0.008
2467 1519764385975 23660	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.249	0.000	0.000
2468 1519764385979 23670	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.241	0.000	0.004
2469 1519764385986 23680	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.239	2470 1519764837510 0.004	0.008
2471 1519764837615 23690	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.241	0.000	0.004
2472 1519764837631 23700	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.244	0.008	0.008
2473 1519764837640 23710	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.240	0.000	0.008
2474 1519764837645 23720	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.240	0.000	0.008
2475 1519764837652 23730	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.245	0.004	0.008
2476 1519764837657 23740	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.246	0.000	0.000
2477 1519764837663 23750	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.242	0.000	0.004
2478 1519764837668 23760	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.244	0.000	0.008
2479 1519764837673 23770	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.248	0.000	0.012
2480 1519764837677 23780	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.240	0.000	0.004
2481 1519764837715 23790	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.241	0.000	0.000
2482 1519764837719 23800	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.240	0.000	0.020
2483 1519764837724 23810	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.239	0.000	0.004
2484 1519764837729 23820	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.242	0.000	0.008
2485 1519764837734 23830	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.238	0.004	0.012
2486 1519764837739 23840	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.247	0.000	0.008
2487 1519764837744 23850	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.241	0.000	0.008
2488 1519764837749 23860	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.246	0.000	0.000
2489 1519764837753 23870	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.243	0.000	0.000
2490 1519764837759 23880	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.239	0.000	0.008
2491 1519764837763 23890	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.246	0.000	0.012
2492 1519764837768 23900	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.233	0.000	0.004
2493 1519764837773 23910	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.236	0.000	0.008
2494 1519764837777 23920	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.244	0.000	0.004
2495 1519764837782 23930	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.242	0.000	0.008
2496 1519764837788 23940	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.229	0.000	0.012
2497 1519764837792 23950	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.241	0.000	0.008
2498 1519764837796 23960	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.231	0.008	0.023
2499 1519764837802 23970	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.241	0.000	0.012
2500 1519764837806 23980	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.241	0.004	0.012
2501 1519764837811 23990	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.242	0.000	0.000
2502 1519764837817 24000	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.241	0.000	0.000
2503 1519764837821 24010	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.231	0.000	0.008
2504 1519764837826 24020	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.239	0.000	0.012
2505 1519764837831 24030	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.241	0.000	0.004
2506 1519764837836 24040	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.238	0.000	0.012
2507 1519764837841 24050	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.234	0.000	0.012
2508 1519764837845 24060	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.242	0.000	0.012
2509 1519764837850 24070	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.247	0.000	0.000
2510 1519764837854 24080	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.228	0.000	0.004
2511 1519764837859 24090	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.226	0.000	0.008
2512 1519764837864 24100	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.224	0.004	0.012
2513 1519764837869 24110	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.228	0.004	0.004
2514 1519764837874 24120	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.236	0.004	0.008
2515 1519764837879 24130	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.220	0.008	0.012
2516 1519764837884 24140	images/sec: 349.4 +/- 0.3 (jitter = 20.0)	7.221	0.004	0.008
2517 1519764837889 24150	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.232	0.004	0.008
2518 1519764837896 24160	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.236	0.000	0.012
2519 1519764837902 24170	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.231	0.000	0.012
2520 1519764837906 24180	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.222	0.000	0.000
2521 1519764837911 24190	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.217	0.000	0.008
2522 1519764837917 24200	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.225	0.000	0.012
2523 1519764837922 24210	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.200	0.000	0.012
2524 1519764837927 24220	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.219	0.000	0.008
2525 1519764837932 24230	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.228	0.000	0.004
2526 1519764837938 24240	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.232	0.000	0.004
2527 1519764837943 24250	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.230	0.000	0.008
2528 1519764837949 24260	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.208	0.000	0.012
2529 1519764837957 24270	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.222	0.000	0.008
2530 1519764837962 24280	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.221	0.004	0.016
2531 1519764837967 24290	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.212	0.000	0.004
2532 1519764837972 24300	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.212	0.002533 1519765290013 0	0.012
2534 1519765290120 24310	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.198	0.004	0.012
2535 1519765290138 24320	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.233	0.000	0.012
2536 1519765290144 24330	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.206	0.000	0.000
2537 1519765290151 24340	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.191	0.004	0.012
2538 1519765290156 24350	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.220	0.004	0.008
2539 1519765290161 24360	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.220	0.000	0.004
2540 1519765290167 24370	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.209	0.000	0.004
2541 1519765290173 24380	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.200	0.000	0.000
2542 1519765290177 24390	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.190	0.004	0.020
2543 1519765290182 24400	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.193	0.008	0.012
2544 1519765290215 24410	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.217	0.000	0.008
2545 1519765290220 24420	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.188	0.004	0.020
2546 1519765290225 24430	images/sec: 349.4 +/- 0.3 (jitter = 19.9)	7.171	0.000	0.008
2547 1519765290230 24440	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.192	0.000	0.012
2548 1519765290235 24450	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.198	0.004	0.004
2549 1519765290239 24460	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.186	0.000	0.008
2550 1519765290244 24470	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.224	0.000	0.012
2551 1519765290249 24480	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.214	0.000	0.000
2552 1519765290254 24490	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.215	0.004	0.012
2553 1519765290258 24500	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.179	0.004	0.016
2554 1519765290262 24510	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.156	0.004	0.020
2555 1519765290267 24520	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.239	0.012	0.020
2556 1519765290271 24530	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.158	0.004	0.004
2557 1519765290276 24540	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.184	0.004	0.012
2558 1519765290280 24550	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.167	0.004	0.016
2559 1519765290285 24560	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.251	0.004	0.008
2560 1519765290289 24570	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.215	0.008	0.012
2561 1519765290293 24580	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.184	0.000	0.016
2562 1519765290298 24590	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.140	0.000	0.012
2563 1519765290303 24600	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.201	0.012	0.020
2564 1519765290307 24610	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.134	0.004	0.023
2565 1519765290312 24620	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.178	0.000	0.004
2566 1519765290316 24630	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.214	0.004	0.012
2567 1519765290320 24640	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.171	0.000	0.000
2568 1519765290325 24650	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.108	0.004	0.020
2569 1519765290330 24660	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.151	0.004	0.012
2570 1519765290334 24670	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.207	0.004	0.008
2571 1519765290339 24680	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.185	0.000	0.000
2572 1519765290343 24690	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.144	0.000	0.012
2573 1519765290348 24700	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.136	0.004	0.008
2574 1519765290352 24710	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.130	0.004	0.023
2575 1519765290356 24720	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.172	0.000	0.012
2576 1519765290361 24730	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.131	0.008	0.016
2577 1519765290366 24740	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.141	0.012	0.031
2578 1519765290370 24750	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.129	0.000	0.008
2579 1519765290375 24760	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.163	0.000	0.012
2580 1519765290379 24770	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.114	0.008	0.027
2581 1519765290384 24780	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.093	0.012	0.020
2582 1519765290390 24790	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.171	0.000	0.012
2583 1519765290395 24800	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.141	0.000	0.000
2584 1519765290400 24810	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.152	0.000	0.012
2585 1519765290406 24820	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.113	0.008	0.012
2586 1519765290412 24830	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.155	0.000	0.020
2587 1519765290417 24840	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.139	0.004	0.012
2588 1519765290422 24850	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.093	0.000	0.020
2589 1519765290427 24860	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.151	0.000	0.020
2590 1519765290431 24870	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.145	0.000	0.008
2591 1519765290436 24880	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.173	0.000	0.008
2592 1519765290441 24890	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.114	0.004	0.008
2593 1519765290446 24900	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.130	0.008	0.016
2594 1519765290451 24910	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.118	0.000	0.020
2595 1519765290456 24920	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.098	0.012	0.2596 1519765338054 2018-02-27 21:01:47.904066: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 1 of 10000
2597 1519765338121 2018-02-27 21:01:48.299455: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 7 of 10000
2598 1519765338137 2018-02-27 21:01:57.558267: I tensorflow/core/kernels/shuffle_dataset_op.cc:126] Shuffle buffer filled.
2599 1519765771838 023
2600 1519765771915 24930	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.129	0.000	0.004
2601 1519765771931 24940	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.144	0.000	0.012
2602 1519765771938 24950	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.095	0.000	0.016
2603 1519765771942 24960	images/sec: 349.5 +/- 0.3 (jitter = 19.9)	7.119	0.000	0.016
2604 1519765771949 24970	images/sec: 348.9 +/- 0.3 (jitter = 19.9)	7.037	0.004	0.016
2605 1519765771954 24980	images/sec: 348.9 +/- 0.3 (jitter = 19.9)	7.109	0.000	0.008
2606 1519765771959 24990	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.189	0.000	0.008
2607 1519765771965 25000	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.122	0.004	0.012
2608 1519765771970 25010	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.086	0.004	0.012
2609 1519765771974 25020	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.125	0.000	0.016
2610 1519765771979 25030	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.210	0.000	0.008
2611 1519765771984 25040	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.154	0.004	0.012
2612 1519765771988 25050	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.099	0.016	0.023
2613 1519765771993 25060	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.135	0.008	0.008
2614 1519765771997 25070	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.160	0.004	0.016
2615 1519765772001 25080	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.079	0.004	0.027
2616 1519765772005 25090	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.081	0.008	0.008
2617 1519765772010 25100	images/sec: 349.0 +/- 0.3 (jitter = 20.0)	7.185	0.008	0.016
2618 1519765772015 25110	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.177	0.000	0.012
2619 1519765772021 25120	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.163	0.004	0.004
2620 1519765772025 25130	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.072	0.008	0.027
2621 1519765772029 25140	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.145	0.004	0.016
2622 1519765772033 25150	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.135	0.000	0.016
2623 1519765772037 25160	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.112	0.004	0.016
2624 1519765772041 25170	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.144	0.004	0.027
2625 1519765772045 25180	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.153	0.000	0.016
2626 1519765772057 25190	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.108	0.004	0.020
2627 1519765772061 25200	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.091	0.004	0.016
2628 1519765772065 25210	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.137	0.000	0.020
2629 1519765772069 25220	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.107	0.004	0.012
2630 1519765772073 25230	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.144	0.004	0.016
2631 1519765772077 25240	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.073	0.004	0.020
2632 1519765772081 25250	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.125	0.008	0.020
2633 1519765772085 25260	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.146	0.000	0.012
2634 1519765772089 25270	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.124	0.000	0.012
2635 1519765772093 25280	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.095	0.012	0.020
2636 1519765772098 25290	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.085	0.000	0.020
2637 1519765772102 25300	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.135	0.004	0.012
2638 1519765772106 25310	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.117	0.012	0.039
2639 1519765772110 25320	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.180	0.004	0.008
2640 1519765772114 25330	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.090	0.004	0.016
2641 1519765772118 25340	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.185	0.000	0.012
2642 1519765772124 25350	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.155	0.004	0.016
2643 1519765772129 25360	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.046	0.004	0.027
2644 1519765772133 25370	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.133	0.004	0.016
2645 1519765772137 25380	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.156	0.004	0.020
2646 1519765772141 25390	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.208	0.000	0.004
2647 1519765772146 25400	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.212	0.004	0.012
2648 1519765772150 25410	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.119	0.004	0.012
2649 1519765772154 25420	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.103	0.000	0.012
2650 1519765772158 25430	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.132	0.004	0.008
2651 1519765772162 25440	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.121	0.004	0.008
2652 1519765772167 25450	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.113	0.004	0.012
2653 1519765772171 25460	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.235	0.004	0.004
2654 1519765772175 25470	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.158	0.004	0.008
2655 1519765772179 25480	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.102	0.000	0.020
2656 1519765772183 25490	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.064	0.008	0.023
2657 1519765772187 25500	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.130	0.004	0.012
2658 1519765772191 25510	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.152	0.004	0.012
2659 1519765772195 25520	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.082	0.020	0.031
2660 1519765772199 25530	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.104	0.000	0.008
2661 1519765772203 25540	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.137	0.004	0.016
2662 1519766226205 25550	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.170	0.004	0.012
2663 1519766226210 25560	images/sec: 349.1 +/- 0.3 (jitter = 20.0)	7.105	0.000	0.027
2664 1519766226214 25570	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.093	0.008	0.016
2665 1519766226218 25580	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.127	0.004	0.027
2666 1519766226222 25590	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.138	0.004	0.016
2667 1519766226226 25600	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.102	0.004	0.016
2668 1519766226230 25610	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.140	0.000	0.008
2669 1519766226234 25620	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.133	0.004	0.012
2670 1519766226238 25630	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.123	0.000	0.016
2671 1519766226241 25640	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.121	0.008	0.012
2672 1519766226245 25650	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.032	0.004	0.031
2673 1519766226249 25660	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.105	0.004	0.012
2674 1519766226254 25670	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.113	0.000	0.008
2675 1519766226258 25680	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.106	0.000	0.020
2676 1519766226261 25690	images/sec: 349.1 +/- 0.2 (jitter = 20.0)	7.110	0.004	0.023
