TensorFlow:  1.5
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 250.4 +/- 0.0 (jitter = 0.0)	7.404	0.000	0.016
10	images/sec: 211.5 +/- 9.8 (jitter = 26.5)	7.427	0.000	0.004
20	images/sec: 206.0 +/- 5.6 (jitter = 13.3)	7.382	0.004	0.008
30	images/sec: 205.4 +/- 4.6 (jitter = 13.3)	7.414	0.000	0.004
40	images/sec: 209.1 +/- 4.2 (jitter = 19.6)	7.392	0.000	0.000
50	images/sec: 173.9 +/- 6.1 (jitter = 21.7)	7.365	0.000	0.000
60	images/sec: 177.3 +/- 5.3 (jitter = 26.0)	7.370	0.000	0.008
70	images/sec: 178.8 +/- 4.7 (jitter = 24.8)	7.427	0.008	0.008
80	images/sec: 181.0 +/- 4.3 (jitter = 23.9)	7.425	0.000	0.000
90	images/sec: 184.0 +/- 3.9 (jitter = 24.5)	7.383	0.004	0.004
100	images/sec: 171.3 +/- 4.1 (jitter = 23.9)	7.346	0.000	0.012
110	images/sec: 173.9 +/- 3.8 (jitter = 23.4)	7.383	0.000	0.000
120	images/sec: 176.3 +/- 3.5 (jitter = 22.9)	7.410	0.000	0.004
130	images/sec: 178.1 +/- 3.3 (jitter = 21.7)	7.395	0.000	0.000
140	images/sec: 179.9 +/- 3.0 (jitter = 21.1)	7.398	0.000	0.008
150	images/sec: 172.6 +/- 3.1 (jitter = 21.5)	7.412	0.000	0.000
160	images/sec: 174.0 +/- 3.0 (jitter = 21.1)	7.379	0.004	0.004
170	images/sec: 175.4 +/- 2.8 (jitter = 20.3)	7.371	0.000	0.004
180	images/sec: 176.9 +/- 2.7 (jitter = 19.7)	7.379	0.000	0.004
190	images/sec: 178.0 +/- 2.6 (jitter = 19.3)	7.405	0.004	0.004
200	images/sec: 173.0 +/- 2.6 (jitter = 20.4)	7.391	0.004	0.020
210	images/sec: 174.2 +/- 2.5 (jitter = 19.7)	7.374	0.004	0.004
220	images/sec: 175.2 +/- 2.4 (jitter = 18.7)	7.380	0.000	0.000
230	images/sec: 176.2 +/- 2.3 (jitter = 17.7)	7.348	0.000	0.004
240	images/sec: 177.2 +/- 2.2 (jitter = 16.9)	7.375	0.000	0.004
250	images/sec: 172.9 +/- 2.3 (jitter = 16.9)	7.341	0.004	0.008
260	images/sec: 173.9 +/- 2.2 (jitter = 16.4)	7.357	0.004	0.012
270	images/sec: 174.9 +/- 2.1 (jitter = 16.0)	7.365	0.000	0.004
280	images/sec: 175.9 +/- 2.1 (jitter = 15.9)	7.359	0.000	0.000
290	images/sec: 176.5 +/- 2.0 (jitter = 15.7)	7.367	0.000	0.000
300	images/sec: 173.0 +/- 2.1 (jitter = 16.0)	7.371	0.004	0.012
310	images/sec: 173.9 +/- 2.0 (jitter = 16.0)	7.352	0.000	0.000
320	images/sec: 174.9 +/- 1.9 (jitter = 16.6)	7.356	0.004	0.008
330	images/sec: 175.6 +/- 1.9 (jitter = 16.8)	7.357	0.000	0.004
340	images/sec: 173.0 +/- 1.9 (jitter = 16.6)	7.360	0.000	0.008
350	images/sec: 174.0 +/- 1.9 (jitter = 17.3)	7.375	0.000	0.000
360	images/sec: 174.6 +/- 1.8 (jitter = 16.8)	7.357	0.000	0.004
370	images/sec: 175.1 +/- 1.8 (jitter = 16.5)	7.380	0.000	0.000
380	images/sec: 175.8 +/- 1.8 (jitter = 16.2)	7.340	0.004	0.008
390	images/sec: 172.9 +/- 1.8 (jitter = 15.5)	7.360	0.004	0.004
400	images/sec: 173.6 +/- 1.7 (jitter = 15.6)	7.329	0.004	0.016
410	images/sec: 174.1 +/- 1.7 (jitter = 15.6)	7.405	0.004	0.012
420	images/sec: 174.6 +/- 1.7 (jitter = 15.4)	7.367	0.004	0.008
430	images/sec: 175.2 +/- 1.6 (jitter = 15.4)	7.366	0.000	0.000
440	images/sec: 173.4 +/- 1.7 (jitter = 15.6)	7.337	0.000	0.004
450	images/sec: 174.0 +/- 1.6 (jitter = 15.7)	7.360	0.000	0.008
460	images/sec: 174.6 +/- 1.6 (jitter = 15.5)	7.323	0.000	0.004
470	images/sec: 175.0 +/- 1.6 (jitter = 15.5)	7.385	0.004	0.012
480	images/sec: 175.7 +/- 1.5 (jitter = 15.8)	7.360	0.000	0.000
490	images/sec: 174.1 +/- 1.6 (jitter = 16.1)	7.377	0.004	0.004
500	images/sec: 174.6 +/- 1.5 (jitter = 16.1)	7.342	0.000	0.000
510	images/sec: 174.9 +/- 1.5 (jitter = 15.9)	7.328	0.004	0.012
520	images/sec: 175.6 +/- 1.5 (jitter = 16.2)	7.371	0.000	0.004
530	images/sec: 176.1 +/- 1.5 (jitter = 16.2)	7.354	0.000	0.004
540	images/sec: 174.0 +/- 1.5 (jitter = 16.8)	7.349	0.000	0.000
550	images/sec: 174.5 +/- 1.5 (jitter = 16.7)	7.385	0.000	0.000
560	images/sec: 174.9 +/- 1.4 (jitter = 16.4)	7.372	0.000	0.004
570	images/sec: 175.4 +/- 1.4 (jitter = 16.6)	7.329	0.000	0.004
580	images/sec: 175.8 +/- 1.4 (jitter = 16.4)	7.321	0.000	0.004
590	images/sec: 173.7 +/- 1.4 (jitter = 16.4)	7.356	0.000	0.004
600	images/sec: 174.2 +/- 1.4 (jitter = 16.5)	7.360	0.000	0.000
610	images/sec: 174.6 +/- 1.4 (jitter = 16.5)	7.350	0.000	0.004
620	images/sec: 175.1 +/- 1.4 (jitter = 16.6)	7.363	0.000	0.000
630	images/sec: 175.5 +/- 1.3 (jitter = 16.8)	7.323	0.008	0.012
640	images/sec: 173.1 +/- 1.4 (jitter = 16.6)	7.379	0.004	0.004
650	images/sec: 173.5 +/- 1.3 (jitter = 16.6)	7.334	0.004	0.004
660	images/sec: 174.0 +/- 1.3 (jitter = 16.6)	7.342	0.004	0.004
670	images/sec: 174.4 +/- 1.3 (jitter = 16.8)	7.359	0.000	0.004
680	images/sec: 174.7 +/- 1.3 (jitter = 16.8)	7.340	0.000	0.008
690	images/sec: 173.0 +/- 1.3 (jitter = 16.9)	7.340	0.000	0.004
700	images/sec: 173.5 +/- 1.3 (jitter = 17.0)	7.344	0.000	0.004
710	images/sec: 173.9 +/- 1.3 (jitter = 17.1)	7.362	0.004	0.008
720	images/sec: 174.2 +/- 1.3 (jitter = 16.9)	7.342	0.004	0.008
730	images/sec: 174.7 +/- 1.3 (jitter = 17.0)	7.357	0.004	0.012
740	images/sec: 173.2 +/- 1.3 (jitter = 17.1)	7.329	0.000	0.004
750	images/sec: 173.5 +/- 1.3 (jitter = 17.1)	7.359	0.000	0.023
760	images/sec: 173.9 +/- 1.2 (jitter = 17.1)	7.345	0.008	0.012
770	images/sec: 174.3 +/- 1.2 (jitter = 17.0)	7.366	0.004	0.004
780	images/sec: 172.8 +/- 1.2 (jitter = 17.1)	7.321	0.000	0.004
790	images/sec: 173.1 +/- 1.2 (jitter = 17.1)	7.341	0.000	0.004
800	images/sec: 173.6 +/- 1.2 (jitter = 17.1)	7.327	0.004	0.012
810	images/sec: 174.0 +/- 1.2 (jitter = 17.2)	7.341	0.000	0.000
820	images/sec: 174.2 +/- 1.2 (jitter = 17.0)	7.351	0.004	0.016
830	images/sec: 173.0 +/- 1.2 (jitter = 17.1)	7.359	0.000	0.000
840	images/sec: 173.4 +/- 1.2 (jitter = 17.2)	7.369	0.004	0.004
850	images/sec: 173.8 +/- 1.2 (jitter = 17.5)	7.350	0.000	0.012
860	images/sec: 174.1 +/- 1.2 (jitter = 17.6)	7.336	0.004	0.008
870	images/sec: 174.5 +/- 1.2 (jitter = 17.7)	7.341	0.004	0.020
880	images/sec: 173.6 +/- 1.2 (jitter = 17.9)	7.355	0.000	0.004
890	images/sec: 173.9 +/- 1.2 (jitter = 17.8)	7.338	0.000	0.004
900	images/sec: 174.1 +/- 1.2 (jitter = 17.8)	7.342	0.000	0.000
910	images/sec: 174.5 +/- 1.1 (jitter = 18.0)	7.339	0.008	0.016
920	images/sec: 174.8 +/- 1.1 (jitter = 17.9)	7.336	0.000	0.008
930	images/sec: 173.8 +/- 1.1 (jitter = 17.8)	7.322	0.000	0.004
940	images/sec: 174.2 +/- 1.1 (jitter = 18.1)	7.328	0.004	0.012
950	images/sec: 174.5 +/- 1.1 (jitter = 18.3)	7.318	0.000	0.004
960	images/sec: 174.8 +/- 1.1 (jitter = 18.4)	7.347	0.000	0.004
970	images/sec: 175.1 +/- 1.1 (jitter = 18.6)	7.343	0.000	0.004
980	images/sec: 174.2 +/- 1.1 (jitter = 18.5)	7.313	0.004	0.008
990	images/sec: 174.5 +/- 1.1 (jitter = 18.6)	7.347	0.000	0.004
1000	images/sec: 174.8 +/- 1.1 (jitter = 18.6)	7.308	0.004	0.012
1010	images/sec: 175.1 +/- 1.1 (jitter = 18.6)	7.333	0.000	0.000
1020	images/sec: 175.4 +/- 1.1 (jitter = 18.7)	7.324	0.000	0.004
1030	images/sec: 174.2 +/- 1.1 (jitter = 18.7)	7.350	0.000	0.008
1040	images/sec: 174.4 +/- 1.1 (jitter = 18.7)	7.326	0.000	0.008
1050	images/sec: 174.7 +/- 1.1 (jitter = 18.6)	7.358	0.000	0.004
1060	images/sec: 175.0 +/- 1.1 (jitter = 18.6)	7.335	0.000	0.004
1070	images/sec: 175.2 +/- 1.1 (jitter = 18.7)	7.337	0.000	0.000
1080	images/sec: 174.6 +/- 1.1 (jitter = 18.7)	7.309	0.000	0.000
1090	images/sec: 174.8 +/- 1.1 (jitter = 18.7)	7.342	0.000	0.000
1100	images/sec: 175.2 +/- 1.0 (jitter = 18.8)	7.336	0.000	0.008
1110	images/sec: 175.4 +/- 1.0 (jitter = 18.8)	7.328	0.000	0.012
1120	images/sec: 175.7 +/- 1.0 (jitter = 18.9)	7.308	0.016	0.020
1130	images/sec: 175.2 +/- 1.0 (jitter = 18.9)	7.339	0.004	0.008
1140	images/sec: 175.4 +/- 1.0 (jitter = 18.7)	7.330	0.000	0.012
1150	images/sec: 175.7 +/- 1.0 (jitter = 18.8)	7.346	0.000	0.004
1160	images/sec: 175.9 +/- 1.0 (jitter = 18.6)	7.336	0.000	0.012
1170	images/sec: 176.2 +/- 1.0 (jitter = 18.6)	7.327	0.000	0.000
