V100,1,16,9,tf,alexnet,128,851.76,19.3048
V100,1,16,9,tf,alexnet,64,896.48,16.7273
V100,1,16,9,tf,inception3,128,217.80,82.3589
V100,1,16,9,tf,inception3,64,212.96,60.9478
V100,1,16,9,tf,resnet50,128,345.29,80.8981
V100,1,16,9,tf,resnet50,64,322.85,69.5769
V100,1,16,9,tf,vgg16,128,216.20,88.7515
V100,1,16,9,tf,vgg16,64,212.39,81.2376
V100,1,28,9,tf,alexnet,128,835.89,18.8224
V100,1,28,9,tf,alexnet,64,832.29,16.2609
V100,1,28,9,tf,inception3,128,223.64,84.066
V100,1,28,9,tf,inception3,64,214.20,60.5939
V100,1,28,9,tf,resnet50,128,345.81,80.5556
V100,1,28,9,tf,resnet50,64,323.04,69.9084
V100,1,28,9,tf,vgg16,128,216.22,88.8067
V100,1,28,9,tf,vgg16,64,212.39,81.6961
V100,1,30,9,tf,alexnet,128,854.11,19.6667
V100,1,30,9,tf,alexnet,64,867.10,16.9851
V100,1,30,9,tf,inception3,128,223.28,84.652
V100,1,30,9,tf,inception3,64,213.65,60.8035
V100,1,30,9,tf,resnet50,128,345.73,81.3472
V100,1,30,9,tf,resnet50,64,323.94,69.5308
V100,1,30,9,tf,vgg16,128,216.31,88.9969
V100,1,30,9,tf,vgg16,64,212.34,80.9834
V100,2,28,9,tf,alexnet,128,806.85,12.4519
V100,2,28,9,tf,alexnet,64,797.95,11.6486
V100,2,28,9,tf,inception3,128,392.18,74.8778
,0,0,0,,,,,64.203
V100,2,28,9,tf,resnet50,128,612.36,72.4728
V100,2,28,9,tf,resnet50,64,562.16,62.531
V100,2,28,9,tf,vgg16,128,384.14,79.1403
V100,2,28,9,tf,vgg16,64,343.50,68.493
