TensorFlow:  1.5
Model:       vgg16
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 389.7 +/- 0.0 (jitter = 0.0)	7.255	0.000	0.004
10	images/sec: 393.7 +/- 1.2 (jitter = 4.7)	7.255	0.000	0.004
20	images/sec: 394.0 +/- 1.1 (jitter = 6.6)	7.255	0.000	0.012
30	images/sec: 394.7 +/- 1.5 (jitter = 6.6)	7.255	0.000	0.008
40	images/sec: 390.1 +/- 3.4 (jitter = 6.6)	7.255	0.000	0.000
50	images/sec: 391.9 +/- 2.8 (jitter = 6.3)	7.255	0.000	0.004
60	images/sec: 391.9 +/- 2.4 (jitter = 6.4)	7.255	0.004	0.004
70	images/sec: 392.7 +/- 2.1 (jitter = 6.3)	7.255	0.000	0.016
80	images/sec: 393.5 +/- 1.9 (jitter = 6.3)	7.255	0.000	0.000
90	images/sec: 391.4 +/- 2.2 (jitter = 6.4)	7.255	0.000	0.004
100	images/sec: 388.0 +/- 2.7 (jitter = 6.5)	7.255	0.000	0.000
110	images/sec: 386.5 +/- 2.7 (jitter = 6.9)	7.255	0.000	0.000
120	images/sec: 387.3 +/- 2.5 (jitter = 6.5)	7.255	0.004	0.016
130	images/sec: 387.9 +/- 2.3 (jitter = 6.3)	7.255	0.004	0.016
140	images/sec: 388.3 +/- 2.1 (jitter = 6.2)	7.255	0.000	0.004
150	images/sec: 387.2 +/- 2.2 (jitter = 6.4)	7.255	0.000	0.008
160	images/sec: 387.7 +/- 2.0 (jitter = 6.5)	7.255	0.000	0.004
170	images/sec: 388.1 +/- 1.9 (jitter = 6.3)	7.255	0.004	0.016
180	images/sec: 386.0 +/- 2.1 (jitter = 6.4)	7.255	0.004	0.008
190	images/sec: 386.4 +/- 2.0 (jitter = 6.5)	7.255	0.000	0.000
200	images/sec: 385.8 +/- 2.0 (jitter = 6.5)	7.255	0.000	0.004
210	images/sec: 385.3 +/- 2.0 (jitter = 6.5)	7.255	0.000	0.008
220	images/sec: 385.8 +/- 1.9 (jitter = 6.4)	7.255	0.000	0.012
230	images/sec: 385.2 +/- 1.9 (jitter = 6.5)	7.255	0.000	0.000
240	images/sec: 384.9 +/- 1.9 (jitter = 6.5)	7.255	0.004	0.027
250	images/sec: 384.6 +/- 1.9 (jitter = 6.6)	7.255	0.000	0.000
260	images/sec: 384.3 +/- 1.9 (jitter = 6.5)	7.255	0.012	0.016
270	images/sec: 383.5 +/- 1.9 (jitter = 6.6)	7.255	0.000	0.000
280	images/sec: 383.8 +/- 1.9 (jitter = 6.5)	7.255	0.000	0.000
290	images/sec: 384.2 +/- 1.8 (jitter = 6.5)	7.255	0.004	0.004
300	images/sec: 384.2 +/- 1.8 (jitter = 6.7)	7.255	0.000	0.004
310	images/sec: 384.6 +/- 1.7 (jitter = 6.6)	7.255	0.000	0.000
320	images/sec: 384.9 +/- 1.7 (jitter = 6.8)	7.255	0.000	0.008
330	images/sec: 385.1 +/- 1.6 (jitter = 6.8)	7.255	0.000	0.004
340	images/sec: 385.2 +/- 1.6 (jitter = 6.7)	7.255	0.004	0.008
350	images/sec: 385.2 +/- 1.5 (jitter = 6.8)	7.255	0.000	0.000
360	images/sec: 385.1 +/- 1.5 (jitter = 6.6)	7.255	0.004	0.004
370	images/sec: 385.0 +/- 1.5 (jitter = 6.6)	7.255	0.000	0.008
380	images/sec: 385.0 +/- 1.5 (jitter = 6.8)	7.255	0.004	0.004
390	images/sec: 385.3 +/- 1.4 (jitter = 6.9)	7.255	0.000	0.000
400	images/sec: 385.6 +/- 1.4 (jitter = 6.9)	7.255	0.000	0.016
410	images/sec: 385.8 +/- 1.4 (jitter = 7.0)	7.255	0.000	0.004
420	images/sec: 386.0 +/- 1.4 (jitter = 7.0)	7.255	0.000	0.000
430	images/sec: 385.6 +/- 1.4 (jitter = 7.1)	7.255	0.000	0.008
440	images/sec: 385.4 +/- 1.4 (jitter = 7.0)	7.255	0.000	0.004
450	images/sec: 385.6 +/- 1.3 (jitter = 7.0)	7.255	0.000	0.000
460	images/sec: 385.6 +/- 1.3 (jitter = 7.1)	7.255	0.000	0.000
470	images/sec: 385.4 +/- 1.3 (jitter = 7.1)	7.255	0.004	0.008
480	images/sec: 385.6 +/- 1.3 (jitter = 7.0)	7.255	0.000	0.008
490	images/sec: 385.1 +/- 1.3 (jitter = 7.0)	7.255	0.004	0.004
500	images/sec: 385.4 +/- 1.3 (jitter = 7.0)	7.255	0.000	0.000
510	images/sec: 384.9 +/- 1.3 (jitter = 7.0)	7.255	0.000	0.000
520	images/sec: 385.1 +/- 1.3 (jitter = 6.9)	7.255	0.004	0.008
530	images/sec: 384.9 +/- 1.3 (jitter = 6.9)	7.255	0.000	0.008
540	images/sec: 384.7 +/- 1.3 (jitter = 6.9)	7.255	0.000	0.004
550	images/sec: 384.3 +/- 1.3 (jitter = 7.0)	7.255	0.000	0.004
560	images/sec: 384.6 +/- 1.3 (jitter = 6.9)	7.255	0.000	0.012
570	images/sec: 384.1 +/- 1.3 (jitter = 7.0)	7.255	0.004	0.012
580	images/sec: 384.1 +/- 1.3 (jitter = 7.0)	7.255	0.000	0.000
590	images/sec: 384.4 +/- 1.2 (jitter = 6.9)	7.255	0.000	0.000
600	images/sec: 384.5 +/- 1.2 (jitter = 7.0)	7.255	0.008	0.012
610	images/sec: 384.2 +/- 1.2 (jitter = 7.0)	7.255	0.000	0.008
620	images/sec: 384.4 +/- 1.2 (jitter = 6.9)	7.255	0.000	0.000
630	images/sec: 384.3 +/- 1.2 (jitter = 7.1)	7.255	0.000	0.000
640	images/sec: 384.1 +/- 1.2 (jitter = 7.2)	7.255	0.000	0.008
650	images/sec: 384.2 +/- 1.2 (jitter = 7.2)	7.255	0.000	0.008
660	images/sec: 384.0 +/- 1.2 (jitter = 7.2)	7.255	0.000	0.008
670	images/sec: 383.8 +/- 1.2 (jitter = 7.2)	7.255	0.000	0.004
680	images/sec: 383.8 +/- 1.2 (jitter = 7.2)	7.255	0.000	0.008
690	images/sec: 384.0 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.008
700	images/sec: 384.1 +/- 1.1 (jitter = 7.3)	7.255	0.000	0.004
710	images/sec: 384.0 +/- 1.1 (jitter = 7.1)	7.255	0.000	0.012
720	images/sec: 384.2 +/- 1.1 (jitter = 7.1)	7.255	0.000	0.008
730	images/sec: 384.1 +/- 1.1 (jitter = 7.2)	7.255	0.000	0.000
740	images/sec: 384.0 +/- 1.1 (jitter = 7.1)	7.255	0.000	0.000
750	images/sec: 384.1 +/- 1.1 (jitter = 7.2)	7.255	0.000	0.008
760	images/sec: 384.0 +/- 1.1 (jitter = 7.2)	7.255	0.000	0.004
770	images/sec: 383.8 +/- 1.1 (jitter = 7.4)	7.255	0.000	0.000
780	images/sec: 383.9 +/- 1.1 (jitter = 7.3)	7.255	0.000	0.008
790	images/sec: 383.8 +/- 1.1 (jitter = 7.4)	7.255	0.000	0.004
800	images/sec: 383.7 +/- 1.1 (jitter = 7.5)	7.255	0.000	0.008
810	images/sec: 383.8 +/- 1.1 (jitter = 7.4)	7.255	0.000	0.000
820	images/sec: 383.9 +/- 1.1 (jitter = 7.3)	7.255	0.004	0.004
